carrier_name,service_type,service_name,zone_name,countries,weight_min_kg,weight_max_kg,cost_usd,delivery_days_min,delivery_days_max,effective_date,is_active
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",15.001,20.000,276.00,5,10,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",0.000,0.500,38.00,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",0.501,1.000,44.00,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",1.001,1.500,52.00,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",1.501,2.000,60.00,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",2.001,2.500,68.00,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",2.501,3.000,71.33,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",3.001,4.000,82.67,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",4.001,5.000,101.33,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",5.001,7.500,130.67,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",7.501,10.000,164.00,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",10.001,15.000,237.33,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",15.001,20.000,275.33,2,5,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",0.000,0.500,18.00,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",0.501,1.000,23.33,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",1.001,1.500,26.00,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",1.501,2.000,29.33,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",2.001,2.500,32.00,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",2.501,3.000,35.33,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",3.001,4.000,40.00,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",4.001,5.000,46.00,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",5.001,7.500,68.00,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",7.501,10.000,86.67,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",10.001,15.000,120.67,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,East Asia,"KR;TW;HK;CN;JP;MO",15.001,20.000,148.67,5,10,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",0.000,0.500,16.00,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",0.501,1.000,22.00,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",1.001,1.500,25.33,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",1.501,2.000,28.67,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",2.001,2.500,31.33,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",2.501,3.000,32.00,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",3.001,4.000,37.33,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",4.001,5.000,46.00,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",5.001,7.500,65.33,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",7.501,10.000,84.00,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",10.001,15.000,127.33,2,5,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,East Asia,"KR;TW;HK;CN;JP;MO",15.001,20.000,145.33,2,5,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",0.000,0.500,23.33,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",0.501,1.000,21.33,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",1.001,1.500,27.33,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",1.501,2.000,32.00,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",2.001,2.500,36.67,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",2.501,3.000,39.33,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",3.001,4.000,46.67,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",4.001,5.000,60.67,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",5.001,7.500,84.00,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",7.501,10.000,105.33,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",10.001,15.000,152.00,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",15.001,20.000,184.00,4,8,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",0.000,0.500,23.33,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",0.501,1.000,21.33,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",1.001,1.500,28.00,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",1.501,2.000,32.67,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",2.001,2.500,38.00,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",2.501,3.000,41.33,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",3.001,4.000,48.67,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",4.001,5.000,60.67,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",5.001,7.500,85.33,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",7.501,10.000,116.00,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",10.001,15.000,158.67,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Europe,"GB;DE;FR;IT;ES;NL;BE;AT;CH;SE;NO;DK;FI",15.001,20.000,206.67,1,3,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",0.000,0.500,37.33,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",0.501,1.000,41.33,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",1.001,1.500,52.67,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",1.501,2.000,62.67,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",2.001,2.500,72.67,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",2.501,3.000,79.33,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",3.001,4.000,98.00,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",4.001,5.000,118.00,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",5.001,7.500,158.00,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",7.501,10.000,194.67,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",10.001,15.000,262.67,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Latin America,"MX;BR;AR;CL;CO;PE;VE",15.001,20.000,306.67,6,12,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",0.000,0.500,34.67,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",0.501,1.000,41.33,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",1.001,1.500,51.33,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",1.501,2.000,62.67,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",2.001,2.500,72.67,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",2.501,3.000,78.00,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",3.001,4.000,94.67,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",4.001,5.000,116.67,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",5.001,7.500,154.67,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",7.501,10.000,194.00,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",10.001,15.000,262.67,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Latin America,"MX;BR;AR;CL;CO;PE;VE",15.001,20.000,304.67,3,7,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",0.000,0.500,32.67,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",0.501,1.000,33.33,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",1.001,1.500,42.67,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",1.501,2.000,51.33,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",2.001,2.500,59.33,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",2.501,3.000,68.00,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",3.001,4.000,84.00,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",4.001,5.000,100.67,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",5.001,7.500,138.00,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",7.501,10.000,172.00,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",10.001,15.000,252.00,6,12,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",15.001,20.000,276.00,6,12,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",0.000,0.500,32.00,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",0.501,1.000,34.00,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",1.001,1.500,43.33,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",1.501,2.000,50.00,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",2.001,2.500,52.00,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",2.501,3.000,62.67,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",3.001,4.000,78.00,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",4.001,5.000,92.00,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",5.001,7.500,142.00,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",7.501,10.000,172.00,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",10.001,15.000,265.33,3,7,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,Middle East/Africa,"AE;SA;ZA;EG;IL;JO",15.001,20.000,309.33,3,7,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",0.000,0.500,20.00,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",0.501,1.000,18.67,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",1.001,1.500,22.00,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",1.501,2.000,24.67,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",2.001,2.500,27.33,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",2.501,3.000,28.00,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",3.001,4.000,36.00,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",4.001,5.000,44.67,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",5.001,7.500,59.33,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",7.501,10.000,78.67,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",10.001,15.000,112.00,4,8,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,North America,"US;CA",15.001,20.000,148.00,4,8,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",0.000,0.500,18.00,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",0.501,1.000,19.33,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",1.001,1.500,22.00,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",1.501,2.000,24.67,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",2.001,2.500,27.33,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",2.501,3.000,30.67,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",3.001,4.000,36.67,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",4.001,5.000,45.33,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",5.001,7.500,62.00,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",7.501,10.000,81.33,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",10.001,15.000,126.67,1,3,2025-09-05,true
Eloji (FedEx),express,FedX International Priority,North America,"US;CA",15.001,20.000,146.00,1,3,2025-09-05,true
